resid|pid|income_level|num_adults|num_children_b12|num_children_a12
1|000012116|92584|2|0|4
2|000009697|103011|3|9|2
3|000006858|58793|2|4|3
4|000023658|21842|4|4|1
5|000038945|66714|3|11|0
6|000002644|62106|4|12|3
7|000044219|95774|2|7|4
8|000038044|20616|5|8|4
9|000013985|39908|4|7|0
10|000044134|37320|2|5|3
11|000094649|72699|4|3|3
12|000095503|71992|3|9|5
13|000044940|24086|4|0|2
14|000072050|54666|1|1|1
15|000036540|44017|4|11|1
16|000067257|83852|4|12|4
17|000038393|53176|3|10|3
18|000067090|101803|2|1|2
19|000050299|20793|2|11|3
20|000050189|113880|3|6|5
21|000007922|50182|3|5|3
22|000016106|76383|3|9|4
23|000068759|47367|4|1|5
24|000014516|53325|1|9|3
25|000041465|74892|3|2|2
26|000015298|109720|2|9|5
27|000056580|75525|3|5|2
28|000080302|42202|5|6|3
29|000076978|69530|5|2|0
30|000094190|67605|5|10|4
31|000066719|82211|5|8|5
32|000014288|114212|3|7|2
33|000088342|22834|4|10|5
34|000022670|22638|3|10|3
35|000037554|37235|2|1|2
36|000021727|41153|3|11|4
37|000022375|66468|1|9|5
38|000088621|21577|4|8|3
39|000052095|74254|2|7|2
40|000017209|96412|2|12|4
41|000037521|20393|4|9|0
42|000097812|60362|3|7|3
43|000024926|101230|4|12|0
44|000075204|43701|5|9|4
45|000066007|117912|3|8|5
46|000054193|32570|2|8|3
47|000074861|88528|2|2|2
48|000050431|63962|2|3|2
49|000027327|116227|5|6|2
50|000036861|70850|1|11|2
51|000041895|97341|5|4|0
52|000046316|100077|1|9|4
53|000095965|77192|2|9|3
54|000009658|88742|3|4|2
55|000049577|83358|3|10|0
56|000038812|84738|1|6|3
57|000065658|22378|5|12|3
58|000052473|27639|5|10|4
59|000066248|102962|2|10|3
60|000016072|47302|3|5|4
61|000077713|112685|2|7|3
62|000010914|79264|5|12|1
63|000042952|62723|4|4|0
64|000090104|107301|4|8|4
65|000072532|100675|4|5|4
66|000081188|77723|2|9|2
67|000067154|67986|3|0|4
68|000088868|36546|3|7|0
69|000039706|83262|2|8|1
70|000047376|24886|4|5|2
71|000051792|70262|4|7|2
72|000058539|76704|2|3|2
73|000059865|109479|4|3|2
74|000063354|118362|5|11|2
75|000083701|78302|5|3|4
76|000030838|56368|4|10|5
77|000083758|115462|3|3|0
78|000021653|44091|4|6|4
79|000007626|62392|1|1|5
80|000042496|46524|3|4|1
81|000055884|29305|3|8|0
82|000020437|81156|3|6|1
83|000018456|62708|4|11|4
84|000030578|77074|4|9|3
85|000019971|53118|1|6|3
86|000042333|88165|1|4|1
87|000066473|23865|3|1|2
88|000080944|102636|3|6|5
89|000038144|28296|1|12|3
90|000083343|80691|3|11|0
91|000048870|49276|4|10|4
92|000000546|81596|3|5|5
93|000042681|82043|5|6|2
94|000042314|112606|4|5|5
95|000077212|46964|3|3|0
96|000007834|116545|4|0|0
97|000052706|102849|1|9|2
98|000064286|74771|4|6|4
99|000032453|66416|2|8|0
100|000083969|110595|1|0|3
101|000070866|21049|3|10|5
102|000002048|58135|2|11|3
103|000098872|94029|2|9|4
104|000045017|110238|4|9|4
105|000070451|97387|3|2|2
106|000010749|32911|4|2|3
107|000029080|112979|4|8|4
108|000053286|115882|4|4|5
109|000049552|44713|2|11|3
110|000064150|62670|4|3|1
111|000068048|117698|1|10|4
112|000082036|98883|4|7|3
113|000093724|32399|4|11|1
114|000020922|61214|1|10|2
115|000054052|111232|3|2|4
116|000035509|42039|3|10|2
117|000039732|93039|4|1|1
118|000046989|75343|3|4|3
119|000028204|60190|2|5|1
120|000047758|102373|1|9|5
121|000086228|99648|4|2|1
122|000086923|88402|1|7|3
123|000068925|76696|4|6|4
124|000011056|46805|2|3|5
125|000099947|25425|2|2|3
126|000097232|92633|3|2|1
127|000084331|87644|3|4|3
128|000079320|76787|1|5|2
129|000003563|91011|4|7|2
130|000051695|89592|1|12|1
131|000081027|105179|3|1|1
132|000054565|96591|2|1|4
133|000083325|85598|2|5|2
134|000020514|95343|3|6|2
135|000044424|31382|4|11|3
136|000091764|110190|3|1|3
137|000076430|22663|3|0|4
138|000057172|94255|5|12|3
139|000082116|65458|1|9|1
140|000055592|54077|4|0|5
141|000044027|30628|3|5|4
142|000078824|23446|5|3|1
143|000009702|91909|2|10|3
144|000075592|79752|5|3|3
145|000081096|69500|2|4|1
146|000089309|43576|2|10|3
147|000010367|56779|3|11|4
148|000054627|57854|5|8|2
149|000085042|62001|1|4|2
150|000048993|117393|4|7|3
151|000019514|105369|3|4|2
152|000002434|50869|3|1|4
153|000030470|98616|3|0|0
154|000081274|95420|4|9|1
155|000073837|61923|3|10|4
156|000018686|77461|3|3|5
157|000013027|82021|4|5|3
158|000013876|46120|1|3|1
159|000006559|68450|3|7|4
160|000094623|34819|4|7|5
161|000061505|26354|4|11|4
162|000031819|71129|4|11|5
163|000032465|49164|4|9|4
164|000027724|50614|1|10|5
165|000044386|83798|2|6|4
166|000058734|56174|4|0|4
