,FACID,facname,factype,facurl,facloc,abouturl,textfromurl
0,2,Association House of Chicago,education,http://www.associationhouse.org/, Metro,http://www.associationhouse.org/home/about-us/,"Menu About Us We understand the challenges in our community. Health care, family, education, employment; trying to find the time and guidance to address every part of life can seem impossible. Association House makes it possible, all in one place — a place where the staff speaks your language and helps you meet your goals by providing wrap-around services for social, educational, and health programs. We offer our community a unique blend of services, and do it with a warm, family-like atmosphere. Since 1899, Association House has worked with Chicagoans who seek tools to lead more productive lives. It is one of the oldest “settlement houses” in Chicago originally designed to provide relief and guidance to new immigrants. Today, Association House is a vital resource to under-served, multicultural communities, providing collaborative programs in English and Spanish. We promote health and wellness, educational advancement, and economic empowerment. With a staff of over 200 professionals, Association House impacts the lives of nearly 20,000 children, individuals and families each year in the neighborhoods of Humboldt Park, West Town, Logan Square, Avondale, Hermosa, and beyond. We both address immediate needs and plan for long-term goals with services such as: These bilingual programs, conducted by seasoned staff in a caring, welcoming environment, give motivated participants a cohesive safety net to turn to throughout their life. Read more about our mission and values. To learn more about any of Association House’s services, simply call or visit us. Our staff is happy to answer all of your questions. We are also always looking for new volunteers and donors – contact us to find out how you can help your community. 1116 North Kedzie Avenue, Chicago, IL 60651
(773) 772-7170 Find us on:  Subscribe to our newsletter Email Address *  Yes, I would like to receive emails from Association House of Chicago. (You can unsubscribe anytime)  Instagram "
1,3,"Aunt Martha’s Youth Service Center, Inc.",education,http://www.auntmarthas.org," Metro, North-Northwest, South-Southwest",https://www.auntmarthas.org/mission-vision-values/,"Mission, Vision & Core Values  OUR MISSION A caring community resource for children, youth and families. OUR VISION A world in which loneliness, sickness and despair are replaced with wholeness, healing and hope. OUR CORE VALUES Excellence In our pursuit of excellence, we choose to continuously redefine both ourselves and that which we desire to achieve. Diversity New perspectives spring from the celebration of our diversity. And only in our acceptance of new perspectives can we find the key to our own, unlimited potential. Collaboration Collaboration is a celebration of diversity. It is an acknowledgement of the strengths of those around us as well as a recognition of our own. Commitment & Passion Our commitment is to our patients, to our clients, to our community and to one another. It is fueled by our passion for the work we do. Innovation Innovation is the result of people acting with purpose and compassion. It is not the next big thing; but a single step forward, a new idea, a better way.  Donate Work with Us Volunteer Intern  Home | Privacy Policy | Terms of Use Copyright © 2017. All Rights Reserved. 
Mooresville Web Design by Briscoweb.
  "
2,3,"Aunt Martha’s Youth Service Center, Inc.",education,http://www.auntmarthas.org," Metro, North-Northwest, South-Southwest",https://www.auntmarthas.org/who-we-are/,"Who We Are Aunt Martha’s is a family of more than 900 staff and volunteers. We are health care providers, social workers, educators, counselors, and advocates. We are as diverse as the people and communities we serve. We are parents who know what it is to have a sick, hurting or scared child. We have relied on the help of others to overcome our own challenges. We honor people’s strengths, resourcefulness and resilience. We offer compassion. We provide supportive, professional care. We are a team – skilled and specialized. From the psychiatrist treating children in downstate Illinois, to the dental hygienist caring for a homeless person in Kane County; and from the therapist helping a youth in crisis on the streets of Chicago, to the doctor delivering a baby in Kankakee. Our staff are the best and the brightest in the field. We are all Care Coordinators – intensely dedicated to our patients and clients, connecting each person with exactly what they need, from the services our organization provides to the specialized care offered by our collaborating partners. We are Aunt Martha’s. Donate Work with Us Volunteer Intern  Home | Privacy Policy | Terms of Use Copyright © 2017. All Rights Reserved. 
Mooresville Web Design by Briscoweb.
  "
3,4,"B.U.I.L.D., Inc.",education,http://www.buildchicago.org/, Metro,http://www.buildchicago.org/about-us,"About Us Since 1969, BUILD (Broader Urban Involvement & Leadership Development) has been a pioneer and innovator in youth development, now serving neighborhoods on Chicago’s West (Austin, Humboldt Park, Hermosa, West Town) and South (Fuller Park, Bronzeville) Sides. Through three primary program areas — Prevention, Intervention, and BUILDing Futures — BUILD partners with an array of stakeholders to offer a spectrum of services designed to build lives and futures. Whether by providing a school-based curriculum, youth leadership opportunities, positive out-ofschool activities or intensive, individualized mentoring, all of BUILD’s programs share the same objectives: Mission BUILD’s mission is to engage at-risk youth in the schools and on the streets, so they can realize their educational and career potential and contribute to the stability, safety and well being of our communities. Vision: Grow Hope. Save Lives. BUILD Futures. BUILD believes that every child deserves a bright future regardless of individual challenges or neighborhood barriers. To transform children’s lives from at-risk to at-hope, BUILD provides comprehensive services across critical developmental milestones, meeting young people where they are: in the schools, on the streets, or in the courts. Providing continuity in communities that too often face disruption, isolation and change, BUILD strives to be a constant and trusted resource for youth whether they are struggling to stay in school and out of gangs, or striving to go to college and build a career.   rahm emanuel  ""Connecting youth most at-risk for violence involvement with strong mentors, positive work experience, and social emotional learning will play a critical role in shaping the future of our City. Our children are our City's most precious resource. We must commit our time, energy, and resources to ensure all of our young people have the opportunities and support they need to reach their full potential. Thank you for committing to this fundamental goal""   - Chicago Mayor Rahm Emanuel Stay in touch Sign-up to receive our monthly newsletter. Follow Us  "
4,4,"B.U.I.L.D., Inc.",education,http://www.buildchicago.org/, Metro,http://www.buildchicago.org/building-futures,"BUILDing Futures: College Access and Career Readiness BUILD helps inspire youth to look beyond the barriers in their lives and re-imagine a future filled with opportunity and achievement. Our BUILDing Futures Program exposes low-income, often-overlooked students to the possibility of becoming the first in their families to go to college, graduate and create careers, connecting them to resources they need to achieve their aspirations. Building Futures equips participants with tools and supports needed to graduate from high school (or equivalency), advance to post-secondary opportunities, develop leadership skills, and engage in civic engagement. Through workshops and individual counseling and support, BUILDing Futures assists at-risk students to develop and implement plans for postsecondary education and career. Our Personal Education Plans, part of the Mutual Accountability Plan (MAP), allow students to establish short and long-term goals, as well as action steps needed to reach their goals. BUILDing Futures reaches 750 participants a year, 500 are duplicated from the Prevention and Intervention Components. College Access: Education Outreach Specialists work with middle and high school students on personal motivation, academic attainment, college admissions, financial aid, vocational training, and career exploration to keep them in the educational pipeline and enhance access to postsecondary opportunities. Career Readiness: The Career Development program increases the job readiness skills of our youth, assists with their job searches, and connects them to resources and employers in the community. It also enhances our youths' understanding of the wide variety of careers available to them and the educational requirements of various careers. Services offered by the Career Development program include career assessments, resume writing assistance, interview skills development, asset mapping, workplace etiquette training, job searches, application assistance, job placement, and other career-related topics as requested by staff/school partners. Youth Leadership Development: Youth Development Specialists engage youth council, leadership groups and core group members in tracking life plan goals, providing community service, enhancing leadership skills, and learning to become peer mentors and counselors. BUILDing Futures Core Group Impact 93% of high school non-seniors were promoted to the next grade. 93% of high school seniors graduated (compared to CPS rate of 63%). 72% of high school graduates enrolled in college (compared to CPS rate of 59.5%). 227 youth were placed in employment. 12 youth were placed in internships.   Stay in touch Sign-up to receive our monthly newsletter. Follow Us  "
5,4,"B.U.I.L.D., Inc.",education,http://www.buildchicago.org/, Metro,http://www.buildchicago.org/programs,"Programs Since 1969, BUILD has focused our efforts and resources on Chicago’s most violent neighborhoods in order to change the status quo that has already taken too many young lives. We accomplish our mission through violence prevention/intervention, youth development, and coalition building. Over the years, we have taken the best elements of our program experience and created THE BUILD MODEL. THE BUILD MODEL -- Prevention, Intervention, and BUILDing Futures (college/career prep & youth leadership development) -- provides best-practice services that enable youth to reduce risk-taking behaviors, develop personal competencies, and strengthen their commitment to education and community service. BUILD offers positive alternatives to the gangs, violence and drugs that surround youth, assisting them to transition from being “at risk” to “at hope” by providing coordinated services that assess youths’ needs, identify their assets, and involve them in our programs and refer them to our community partners. Our services range from one-time violence interventions to intensive, ongoing work with youth. All interactions are geared to empower youth to take charge of their own lives, their own futures!    The Core youth that participated in all three BUILD’s programs (Prevention, Intervention and BUILDing Futures) achieved the following academic goals for FY15'   BUILD Model (All Programs) •       79% of youth have reported increased knowledge on conflict resolution and anger management •       78% of youth have demonstrated an improvement in academic performance •       95% of youth have been promoted to the next grade level •       92% of youth have graduated and obtained a high school diploma or GED •       84% of college-ready youth have applied to postsecondary programs, financial aid, and scholarships •       45% of college-ready youth have enrolled in a postsecondary program •       78% of youth have reported a decrease in aggressive behavior   Prevention   Intervention   BUILDing Futures   Program Outcomes:    In FY13, BUILD served 3,000 youth with effective, high-impact programs that created outstanding results. Stay in touch Sign-up to receive our monthly newsletter. Follow Us  "
6,10,Catholic Charities of the Archdiocese of Chicago,education,http://www.catholiccharities.net/,"  Metro, West Suburban, North-Northwest, South-Southwest",http://www.catholiccharities.net/GetHelp/OurServices/LegalServices/CCLA/AboutUs.aspx,"About Us

 Mission Statement The mission of Catholic Charities Legal Assistance (known as “CCLA”) is to provide access to compassionate and competent legal assistance to the economically disadvantaged in the Chicago area without regard to religious affiliation. Mission Fulfillment CCLA endeavors to fulfill its mission by providing various legal services to clients who live on a low income and cannot afford an attorney. As a part of Catholic Charities, CCLA is able to refer clients for assistance to other Catholic Charities social services programs and to provide legal assistance to existing clients of Catholic Charities. Staff 
Hilda Bahena, Catholic Charities Legal Assistance Department Director (LADD).   As the Department Director, Hilda is responsible for the day to day operations of the department, comprised of the Legal Services Program and the Volunteer and Pro Bono Program. The LADD ensures the delivery of legal advice, direct representation and referral services to the department’s clients on a wide range of legal issues.  In addition, Hilda is responsible for strategic planning, including providing leadership and direction in establishing both short and long term goals that are consistent with those of the legal aid community and Catholic Charities.   

            Hilda joined CCLA after first working as a legal aid attorney in the states of California and Illinois for more than twelve years.  Hilda’s public interest experience spans a wide range of subject areas, including landlord/tenant, consumer, and immigration law.  She has developed a specific expertise in family law and legal issues related to domestic violence survivors and immigrant communities.  In addition, throughout her career, Hilda has developed trainings, forged collaboration among service providers, conducted extensive community outreach, and created programs to expand services.  Hilda is bilingual in Spanish.

            Hilda received her Bachelors of Science from the University of Illinois College of Liberal Arts & Sciences and her Juris Doctorate from the University of Illinois College of Law. 

Dennis Trainor, Senior Attorney.  As a Legal Service Program Senior Attorney, Dennis provides a wide range of legal services, including advice, brief legal services and representation to the Department’s clients.  The Senior Attorney also supports the Department’s attorneys, volunteer and staff, by providing leadership including, co-counseling, training, and guidance.  Dennis provides services in variety areas of law including housing, family, and consumer law.  

            Dennis joined CCLA in 2011, having both legal aid and private sector experience. While working in legal aid, Dennis expanded the Poverty Law Project to include Southwestern Cook County, created and implemented a legal aid advice desk at the Sixth Municipal District Court of the Circuit Court of Cook County, and provided services under the Homeless Prevention and Rapid Re-Housing Program in suburban Cook County.  While in private practice, Dennis concentrated on complex litigation in commercial and consumer matters with an emphasis on real estate and mortgages.

            Dennis is a graduate of Florida Atlantic University and the University of Miami School of Law.  Legal Assistance:  Who We Are What We Do Our Supporters "
7,10,Catholic Charities of the Archdiocese of Chicago,education,http://www.catholiccharities.net/,"  Metro, West Suburban, North-Northwest, South-Southwest",http://www.catholiccharities.net/Events/ProgramEvents/AfterSupperVisions.aspx,"After Supper Visions  Program Events:
  Who We Are What We Do Our Supporters "
8,10,Catholic Charities of the Archdiocese of Chicago,education,http://www.catholiccharities.net/,"  Metro, West Suburban, North-Northwest, South-Southwest",http://www.catholiccharities.net/AboutUs.aspx,"About Us Whether They Are Young or Old, Hungry or Addicted, Homeless or Friendless... Catholic Charities sees the face of God in those in need. By providing food, clothing, shelter and counseling, we bring hope to the hopeless in the city of Chicago and its suburbs.    With 150 programs at 164 locations throughout Cook and Lake counties, we serve virtually every neighborhood and parish in the Chicagoland area. Through our broad spectrum of services, we annually assist more than 1 million persons in Cook and Lake counties without regard to religious, ethnic or economic background.   For more than 98 years, Catholic Charities has empowered families and individuals of all races and religious backgrounds to realize their full potential. Our services help people from the point of conception through the last stages of their lives. We keep mothers and their babies well-fed, prepare children in low-income families for school, keep youth in school and out of gangs, counsel and give job training to adults with economic troubles, provide affordable housing for seniors, and organize in-home care services for seniors who need help caring for themselves.

                        Only 8 cents of every dollar donated goes toward our administrative expenses; the rest goes directly to help clients. While Catholic Charities raises funds separately from the Archdiocese of Chicago, we serve as the social service arm of the church.   Catholic Charities 2016 Fact Sheet
Catholic Charities Organizational Chart
Catholic Charities Code of Ethics


Catholic Charities Identity Booklet
Catholic Charities 2016-17 Service Directory

Caridades Católicas Hoja Informativa 2016
Directorio de Servicios de Caridades Católicas 2016-17
 Our Mission Catholic Charities fulfills the Church's role in the mission of charity to anyone in need by providing compassionate, competent and professional services that strengthen and support individuals, families and communities based on the value and dignity of human life.  Nuestra Misión Caridades Católicas cumple con el papel de la Iglesia en la misión de caridad a cualquier persona en necesidad, proporcionando servicios compasivos, competentes y profesionales que fortalecen y apoyan a individuos, familias y comunidades, basados en el valor y la dignidad de la vida humana.  Fraud Reporting At Catholic Charities, we try to ensure the security of all of our electronic communications such as email and our web sites. If you receive any email that appears to be fraudulent, or feel our web site has been compromised in any way, please contact us immediately at CC_Fraud_Reporting@catholiccharities.net and we will investigate this activity. Never release any personal or financial information via electronic communication unless you are certain it is secure, such as through our secure online donation page. Terms of Use & Privacy Policy Catholic Charities's Privacy Policy is designed to help you understand how we collect and use the personal information you decide to share, and help you make informed decisions when using our website located at www.catholiccharities.net and its directly associated domains (collectively, ""Catholic Charities"" or ""Catholic Charities of the Archdiocese of Chicago"" or ""Website"").    By using or accessing Catholic Charities, you are accepting the practices described in this Terms of Use & Privacy Policy.    This privacy statement covers the site www.catholiccharities.net and its directly associated domains.    If you have questions regarding this statement, please visit our Terms of Use & Privacy Policy page.     About Us: Our Services:  Who We Are What We Do Our Supporters "
9,10,Catholic Charities of the Archdiocese of Chicago,education,http://www.catholiccharities.net/,"  Metro, West Suburban, North-Northwest, South-Southwest",http://www.catholiccharities.net/AboutUs/MissionValues.aspx,"Mission & Values A Mission Rooted in Catholic Social Teaching: We Serve Everyone Regardless of Faith... 
Catholic Charities fulfills the Church’s role in the mission of charity to anyone in need by providing compassionate, competent and professional services that strengthen and support individuals, families and communities based on the value and dignity of human life. In order to remain faithful to our mission, Catholic Charities is guided by these core values: Respect, Compassion, Competence and Stewardship.

Our mission and values are based on the firm foundation of Catholic Social Teaching, a collection of themes developed in papal and other writings over the course of the Church’s history. These themes include the belief that human life is sacred; that all humans have inherent dignity, rights and responsibilities; that social structures like marriage and the family must be supported; that the needs of the poor and vulnerable must be met; and that we must be responsible stewards of God’s creation.

Far from limiting our focus, our Catholic identity and values enable us to truly be “universal,” which is what “catholic” really means. The tenets of Catholic Social Teaching call us to serve everyone, regardless of their belief or background, and to employ anyone, not just Catholics, who commits to our mission. Christ reached out to people of all faiths, and Catholic Charities does the same, with the goal of transforming lives for the better. About Us:  Who We Are What We Do Our Supporters "
