,normalizedTitle_onetName,jobDescription
296809,Credit Analysts,"Auto req ID 222942BR Position Title Collateral Processor Line of Business Operations Position City OH - Brecksville Location(s) OH - Brecksville Building Location Code OH003 - Brecksville Lending Services Job Type Regular Job Status Full Time Position Overview As a(n) Collateral Processor within PNC'sCollateral Servicingorganization, you will be based inBrecksville, OH. Job Profile * Utilizing standard procedures, executes standard collateral processing activities. May have specific responsibility for specialized product or functional area. * Processes collateral activities, including perfections, continuations and releases, in accordance with established policies, procedures and regulations. Partners with internal and/or external business partners to route communications, documents or other action items to complete transactions. Identifies and may resolve exceptions and escalates appropriately. May interact with customers. * Ensures the appropriate materials and documentation are available to complete transactions. * Provides responses and documentation to inquiries and ad hoc requests. Completes research. Provides feedback on workflow and work received. * Reviews transactions and related documents. Verifies work processes to ensure completeness, accuracy and conformance to established service levels and applicable policies and procedures. Core Competencies Manages Risk - Basic Experience * Assesses and effectively manages all of the risks associated with their business objectives and activities to ensure activities are in alignment with the banks and units risk appetite and risk management framework. Customer Focus - Basic Experience * Knowledge of the values and practices that align customer needs and satisfaction as primary considerations in all business decisions, and ability to leverage that information in creating customized customer solutions. Job Specific Competencies Accuracy and Attention to Detail - Working Experience * Understanding of the necessity and value of accuracy and attention to detail; ability to process information with high levels of accuracy. Products and Services - Basic Experience * Knowledge of major products and services and product and service groups; ability to apply this knowledge appropriately to diverse situations. Problem Management Process - Basic Experience * Knowledge of and ability to bring a reported problem to successful resolution. Standard Operating Procedures - Basic Experience * Knowledge of and ability to design, implement and evaluate standard operating procedures affecting daily and strategic business operations in order to increase operational efficiency. Flexibility and Adaptability - Basic Experience * Knowledge of successful approaches, tools, and techniques for dealing with changes and adapting to a changing environment; ability to adapt as needed. Decision Making and Critical Thinking - Basic Experience * Understanding of the issues related to the decision-making process; ability to analyze situations fully and accurately, and reach productive decisions. Managing Multiple Priorities - Basic Experience * Ability to manage multiple concurrent objectives, projects, groups, or activities, making effective judgments as to prioritizing and time allocation. Effective Communications - Basic Experience * Understanding of effective communication concepts, tools and techniques; ability to effectively transmit, receive, and accurately interpret ideas, information, and needs through the application of appropriate communication behaviors. Operational Functions - Basic Experience * Knowledge of major functional processes and associated operating requirements; ability to apply this knowledge appropriately to diverse situations. Manages Risk - Basic Experience * Assesses and effectively manages all of the risks associated with their business objectives and activities to ensure activities are in alignment with the bank's and unit's risk appetite and risk management framework. Required Education and Experience Roles at this level typically do not require a university / college degree, but do require related experience or product knowledge to accomplish primary duties. Typically requires 1+ years of related experience. In lieu of a degree, a comparable combination of education and experience may be considered. EEO Statement PNC provides equal employment opportunity to qualified persons regardless of race, color, sex, religion, national origin, age, sexual orientation, gender identity, disability, veteran status, or other categories protected by law Shift Daylight Total Hours Per Week 40 Scheduled Days/Hours M-F 8 to 5 Travel None HR Job Code 100891 Collateral Processor"
257959,Credit Analysts,"4415BR **Posting Title:** Business Credit Card CSR **Job Description:** This position is responsible for answering routine internal and external customer calls in a timely, accurate, and positive manner to effectively respond to inquiries and provide resolution to issues Answers incoming phone calls and responds to messages from customers, account officers, branches and others pertaining to MasterCard BusinessCard issues\. Provides timely answers and resolutions to routine questions and problems using third party processing system, core systems, and other research sources, as necessary\. Maintains a solid understanding of these systems capacity, our product features and department and company processes and standards\. Establishes and maintains a positive, proactive relationship with external customers, account officers and branches\. Performs certain maintenance functions necessary to fulfill customer requests, such as statement copy requests, payment processing, research missing payments, set up auto pays and fixed pays, close cards and increase/decrease credit lines\. **Job Requirements:** High School diploma or equivalency required\. 1\-2 years relevant work experience Strong customer service and communication skills\. Strong knowledge of business credit card product features and functionality\. Solid working knowledge of the credit card system, its screens and reports\. Ability to work well with customers account officers and staff\. **Employment Type:** Full Time **Address 1:** 2 BURLINGTON SQUARE **Address 2:** P\. O\. BOX 820 **City:** Burlington **State:** VT **Zip Code:** 05401 People's United Bank and its subsidiaries are equal opportunity and affirmative action employers EOE\-Females/Minorities/Protected Veterans/Individuals with Disabilities\. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, age, disability, veteran status or any other legally protected status\."
351689,Credit Analysts,"Degreed accountant with manufacturing experience needed to join a great company who is growing. Prior manufacturing industry accounting is preferred. This role will focus on primarily month end close, general ledger activity and budgeting/forecasting. The ideal candidate should be a self starter who can work independently. For immediate consideration contact Tara.Miller@RobertHalf.com or call 502-394-0300. Robert Half Finance & Accounting is the world's leader in specialized financial staffing. We provide exciting full-time opportunities in the areas of accounting, bookkeeping, finance, audit, taxation and more. We pioneered the professional staffing industry, and we've been successfully matching professionals with employers since 1948. Our proven proprietary processes, along with our relationships in more than 340 locations worldwide, allow us to provide you unparalleled access to exciting career opportunities. But don't take our word for it. Our company once again was named to FORTUNE magazine's list of ""World's Most Admired Companies."" (March 1, 2015), and 9 out of 10 of our clients and candidates would recommend our service to a colleague. Apply for this job now or contact our nearest office at 1.800.474.4253 for additional information. All applicants applying for U.S. job openings must be authorized to work in the United States. All applicants applying for Canadian job openings must be authorized to work in Canada. Equal Opportunity Employer M/F/Disability/Vet By clicking 'Apply Now' you are agreeing to Robert Half Terms of Use *Req ID:* 01720-118333 *Functional Role:* Financial Analyst-Manager *Country:* USA *State:* KY *City:* Springfield *Postal Code:* 40004 *Compensation:* $75,000.00 to $90,000.00 per year *Requirements:* Intermediate Account Reconciliation, Advanced Month End Close, Intermediate Material Handling, Advanced Journal Entries, Intermediate Fixed Assets, Intermediate Budgeting/Forecasting, Intermediate Bank Reconciliations, Intermediate Crystal Reports, Intermediate MS Word, Advanced MS Excel, Basic Macola."
47809,Credit Analysts,"Title: Credit Analyst I Location: New York-Syracuse-Salina Street Other Locations: Together, M&T Bank and Wilmington Trust, a part of M&T Bank Corporation, represent one of the countrys leading depository and lending franchises, a premier wealth advisory firm, and the partner of choice for corporate transactions and structures. As one of strongest, most successful companies in the U.S financial services industry, M&T continues to grow, offering value to our shareholders and opportunity to qualified professionals. M&T Bank Corporation is one of the 20 largest commercial bank holding companies headquartered in the United States. With over 16,000 employees and more than 700 branches, M&T serves more than two million consumer households and commercial clients BASIC FUNCTION: Evaluate and determine the credit risks of lower dollar amount commercial clients through detailed financial statement analysis, industry assessment, collateral valuation, cash flow analysis and the ability to repay annual debt service. POSITION RESPONSIBILITIES: Review all pertinent credit and financial information, including reporting services, credit bureaus, and other companies. Determine the need for more thorough investigation or additional information. Analyze financial statements and related materials. Prepare summary, present facts, and offers opinions concerning credit-worthiness. Assign an overall risk rating to the credit request. Assist in monitoring credit policy compliance by verifying adherence to the Commercial Credit Policy, and commenting on any risk associated with non-compliance. Develop credit analyses for use by lending officers in the making of lending decisions on new credit approvals and renewals. Adhere to applicable compliance/operational risk controls in accordance with Company or regulatory standards and policies. Promote an environment that supports diversity and reflects the M&T Bank brand. Maintain M&T internal control standards, including timely implementation of internal and external audit points together with any issues raised by external regulators as applicable. Complete other related duties as assigned. NATURE AND SCOPE: The incumbent works under general supervision. The position interacts with commercial banking relationship managers throughout the banks footprint. MINIMUM QUALIFICATIONS REQUIRED: Bachelors degree in Accounting, Finance, Economics OR in lieu of a degree, a combined minimum of 4 years higher education and work experience. Working knowledge of personal computers and related software programs. IDEAL QUALIFICATIONS PREFERRED: One year accounting, finance or financial analysis related experience. Familiarity with Bank systems such as Risk Analyst, AFS, CSS, CLAS. Excellent verbal and written communication skills. Excellent analytical ability. About M&T At M&T, we strive to be the best place our employees ever work, the best bank our customers ever do business with and the best investment our shareholders ever make. So when looking to advance your career, look to M&T. As a top 20 US bank holding company and one of the best performing regional banks in the country, we offer a wide range of performance based career development opportunities for talented professionals. And through our longstanding tradition of careful, conservative and consistent management and a strong commitment to the communities we serve, we continue to grow with a focus on the future. null"
96943,Credit Analysts,"Credit Interviewer Department: Patient Accounts Schedule: On-Call Shift: Day shift Hours: Variable Salary: $11.85-$16.17 Job Details: Education: Associates Degree or 2 years formal education or equivalent experience Medical Terminology required or successful completion of medical terminology course in the probationary period. Failure to complete medical terminology will result in termination of employment. Work Experience: Two (2) years work experience in customer service, healthcare or business related field. Keyboard  Computer Skills: Advanced keyboard, mouse, computer and Microsoft Windows skills. Must have knowledge and ability to learn, access and utilize 4+ of the computer programs listed below in the probationary, when appropriate for respective department. The applicant will be expected to learn and maintain proficiency in all other applications relative to the position.  Microsoft Word and Excel  Internet/Web Browser  Star  Current email system  Insurance verification systems  Smart Web  Cerner applications  OTG Scanning  Huron applications  Star cash posting and APEX Must be able to pass a typing test of at least 40 words per minute with under 6 errors. Other Entry Requirements: Above average oral and written communication skills and the ability to converse well on the telephone and in face-to-face situations is required. Applicant must be warm, friendly and sensitive to the feelings and concerns of others. Knowledge of current third-party payer reimbursement required. ORGANIZATION: Under the general supervision of the Manager, Patient Financial Services, and the Patient Financial Services coordinator. Organizational reports to the Director of Patient Financial Services. May receive input/instructions from Patient Financial Services Director. Working relations with all ancillary departments and co-workers. The ability to function responsibly in a minimally supervised work situation. Must be a self-starter and self-directed. Proven decision-making skills are required. SPECIFIC DUTIES: Supports the Mission, Vision and Values of Munson Healthcare Embraces and supports the Performance Improvement philosophy of Munson Healthcare. Has basic understanding of Relationship Based Care (RBC) principles, meets expectations outlined in Commitment To My Co-workers, and supports RBC unit action plans. Promotes personal and patient safety. Uses effective customer service/interpersonal skills at all times. Is required to meet minimum quality and productivity scores as defined by management. Works well under general guidance. Ability to handle a frequent demand of shifting priorities and deadlines with a broader scope of complexity. Responsible for data accuracy and input on Star. Handles questions from patients or interested persons concerning insurance, credit, or other problems relating to the hospital. Interviews in person or by phone, patients and relatives requesting payment arrangements or assistance. Resolves problems regarding insurance, lack of information, and provides financial assistance as required. Takes payments and makes payment arrangements on any unpaid balances. Verifies insurance benefits on problem accounts. Works daily and weekly reports. Works delinquent payment plans. Dictates and sends collection letters as required. Handles problem patient correspondence. Makes collection telephone calls. Handles incoming collection calls. Interviews prospective charity recipients and determines eligibilityRecords bad debt payments and provides information for collection agencies, in order to facilitate collection. Assists with Munson Healthcare Affiliate accounts: posts notes, bills insurance, receives payment, coordinates refunds, and makes collection calls. Refers uncollectables to the collection agency. Files claim with Probate Court against deceased patient's estate. Performs any other clerical duties relating to this job as directed by the Office Coordinator(s), Manager(s), or Director. Maintains the confidentiality of all information exposed to while an employee of Munson Medical Center. Performs other duties and responsibilities as assigned. Click Here to Apply Online"
351625,Credit Analysts,Corporate Business Credit Analyst needed for large Cordova client. This position is a possible temporary to full-time opportunity. Must have 4+ years Credit Analysis experience for commercial accounts. Must have prior experience analyzing and interpreting Financial Statements and be able to discuss key points that affect credit extension or credit denial. Must be able to Interpret D&B Reports and make recommendations; Perform credit risk calculations and assessments of current and new customers/vendors and make recommendations of approved credit levels. 4+ years Business to Business Credit Analyst experience. Dun and Bradstreet experience is required. Intermediate Excel is required.
110504,Credit Analysts,"About Neuberger Berman Group LLC: Neuberger Berman is an independent, employee-owned, global asset management firm, serving the financial needs of institutional and individual investors worldwide. Our broad capabilities include traditional and alternative equity and fixed income strategies, private equity and commodities, in addition to portfolio advice and wealth planning services. We offer a broad platform to accommodate the evolving needs of our clients. Job Description: Our established and fast growing EMD team at Neuberger Berman currently manages over $6 bn assets for a wide range of clients across Europe, Middle East, Americas and Asia such as Pension Funds, Sovereign Wealth Funds, Insurance companies and private banking clients. We see strategic growth potential in EM Corporates as part of globally diversified portfolios and are therefore looking to engage on an enthusiastic and ambitious analyst. Responsibilities: -Ability to independently research credit fundamentals and evaluate investment opportunities across various sectors, both HY and IG rated * Conduct thorough and objective competitive analysis, financial forecasts and recommendations based on company & industry research * Perform timely credit rating estimates, peer and relative value analysis * Work with colleagues and Portfolio Managers to make buy, sell, and hold recommendations * Perform investment strategy analysis for multiple industry sectors * Develop comprehensive industry frameworks and credit reviews for periodic presentations to Portfolio Management * Discuss various credits with other analysts and attend industry conferences * Develop and maintain relationships with sell-side sector analysts, managements of primary corporate holdings and rating agencies * Collaborate with Research and Portfolio Management to analyze macro factors and broad market dynamics that have implications for investment strategy -Conduct on-going monitoring and awareness of assigned credits Qualifications: -Strong communication (written and verbal), analytical and quantitative skills required. Preference for an individual with experience presenting and defending investment ideas * 5 years+ of work experience in finance and/or asset management. Prefer a corporate analyst in credit, PE or equities that has specialized in Latin America * Corporate credit research experience with exposure to multiple-industries as well as experience in both IG and HY credits. Candidates with experience in the financial / bank sector are preferable * Experience in Emerging Markets is preferable * Multi lingual - preferably Spanish / Portuguese -Analytical with strong Excel modeling skills, including preparation of historical and projected financial models in Excel -A general understanding of relative value analysis among companies * Globally-minded individual, with understanding of international financial markets and cultures * Self-assured and disciplined approach to analysis, with the ability to manage multiple projects/tasks simultaneously * Be able to work under pressure and meet tight deadlines * A high level of experience in the use of computer tools such as Bloomberg, Microsoft PowerPoint * Team player that is flexible, adaptable and hardworking * Willingness to travel throughout Latin America to attend conferences and perform due diligence on credits * Series 7 & 66 required within 6 months of start date Neuberger Berman is an equal opportunity/affirmative action employer. The firm and its affiliates do not discriminate in employment because of race, color, religion, gender, national origin, protected veteran status, disability, age, citizenship, marital or domestic/civil partnership status, sexual orientation, gender identity or expression or because of any other criteria prohibited under controlling federal, state or local law. *Job Title:* Senior Credit Analyst *Location:* Atlanta, GA"
40010,Credit Analysts,"Title: KYC Remediation Team Analyst II Location: New York-Buffalo-285 Delaware Avenue Other Locations: M&T Securities KYC Remediation Team Analyst II Company Overview: Together, M&T Bank and Wilmington Trust, a part of M&T Bank Corporation, represent one of the countrys leading depository and lending franchises, a premier wealth advisory firm, and the partner of choice for corporate transactions and structures. As one of strongest, most successful companies in the U.S financial services industry, M&T continues to grow, offering value to our shareholders and opportunity to qualified professionals. Join our team of over 15,000 professionals and youll understand what drives our longstanding success: a promise of exceptional client service, a commitment to our communities, a focus on building long-term relationships, and a dedication to being the best employer youll ever have. The Opportunity Responsible for providing routine analytical, operational, and/or technical support at the business/department level. The position requires substantial interaction with both internal and external contacts in order to obtainpertinent information. The collection and maintenance of Customer Due Diligence (CDD) information is critical to reasonably ensure M&T Bank Corporation knows its customers and can anticipate their activity. The position is responsible for assisting the Centralized Compliance department in ensuring adherence to State and Federal regulatory compliance with the Bank Secrecy Act, USA Patriot Act and OFAC. The position entails customer outreach to validate and collect all necessary data to comply with these regulations. Primary Responsibilities: The position is responsible for support in a variety of functions to include but not limited to the following: - Act as a customer service expert placing outbound and receiving inbound calls for M&T Securities customers in order validate current customer data and obtain any missing information. - Resolving customer inquiries involving customer due diligence information. - Conduct research using a variety of systems including but not limited to; Compass, NetX360, Hogan, and Lexis Nexis. - Handle complex customer inquiries and correspondence. - Research various departmental reports. - Participate in special projects to include systems and account research. - Research and gather business, process, and/or financial information. Perform basic ad hoc analyses to support business decisions. Provide feedback and recommendations to management regarding results. - Review and update procedures according to the protocols, guidelines and methods established by Compliance. - Interact with internal business partners and management for procedural issues and problem resolution. - Responsible for performing tasks in a manner that is compliant with applicable laws and regulations and to ensure that M&T is in compliance with laws and regulations that apply to the business line that the position supports. - Apply internal policies and control procedures with a knowledge and understanding of guidance, laws and regulations. - Perform other duties as requested by management Minimum Qualifications Required Bachelors degree or in lieu of a degree a minimum of 4 years work experience in a related field Working knowledge of Windows and PC software programs Excellent oral and written communication skills Strong analytical ability and creative problem solving skills Ability to interact effectively with all levels of personnel FINRA Series 6 Licenses required within 4 months of employment & 63 License required within 8 months Ideal Qualifications Preferred Prior departmental experience Familiar with department specific software with a general knowledge of financial models. About M&T At M&T, we strive to be the best place our employees ever work, the best bank our customers ever do business with and the best investment our shareholders ever make. So when looking to advance your career, look to M&T. As a top 20 US bank holding company and one of the best performing regional banks in the country, we offer a wide range of performance based career development opportunities for talented professionals. And through our longstanding tradition of careful, conservative and consistent management and a strong commitment to the communities we serve, we continue to grow with a focus on the future. null"
47890,Credit Analysts,"Title: Consumer Credit Rep II Location: New York-Buffalo-M%26T Center Other Locations: Together, M&T Bank and Wilmington Trust, a part of M&T Bank Corporation, represent one of the countrys leading depository and lending franchises, a premier wealth advisory firm, and the partner of choice for corporate transactions and structures. As one of strongest, most successful companies in the U.S financial services industry, M&T continues to grow, offering value to our shareholders and opportunity to qualified professionals. M&T Bank Corporation is one of the 20 largest commercial bank holding companies headquartered in the United States. With over 16,000 employees and more than 700 branches, M&T serves more than two million consumer households and commercial clients. Basic Function Evaluate moderately complex consumer loan applications for the extension of credit in a timely manner, ensuring a quality portfolio. Responsibilities Decision all newly originated branch, dealer, LPO, Telephone Banking, and Web loan requests within established guidelines. Follow matrix and refer exception to senior management. Countersign loan within authority while providing daily guidance and training to less experienced loan representatives. Communicate loan decisions to branches, dealers, and customers on a daily basis. Maintain professional etiquette and adhere to Privacy Act Guidelines. Understand and apply regulatory compliance issues in relation to Reg. B, HMDA, Adverse Action, Fair Lending and Fraud Procedures. Monitor assigned individual and regional work queues. Perform other duties and projects as requested by management. Works under general supervision. Exercising lending authority to $150,000. Assist in the development and training of junior staff. Basic Qualifications Associates degree or equivalent in work experience. Minimum four (4) years consumer credit experience. Working knowledge of personal computers and software utilized by the department. Analytical and math skills. Strong written and oral communication skills. Apply lending concepts on a consistent basis. Thorough knowledge of credit bureau report concepts. Knowledge of Consumer Lending loan products. Thorough knowledge of documentation to ensure proper security of collateral. About M&T At M&T, we strive to be the best place our employees ever work, the best bank our customers ever do business with and the best investment our shareholders ever make. So when looking to advance your career, look to M&T. As a top 20 US bank holding company and one of the best performing regional banks in the country, we offer a wide range of performance based career development opportunities for talented professionals. And through our longstanding tradition of careful, conservative and consistent management and a strong commitment to the communities we serve, we continue to grow with a focus on the future. null"
351557,Credit Analysts,"Accountemps offers the opportunity for unemployed individuals to stay busy on an ongoing basis and supplement income while pursuing a full time opportunity. We are currently recruiting for Credit and Collection Analyst to assist on an as needed basis. Candidates for credit or collections analyst positions can be entry-level, although many firms seek up to several years of experience. Candidates should have excellent customer service, negotiation, communication and analytical skills. an associate or bachelor's degree in accounting or a related area is preferred but generally not required. The typical duties will include evaluating consumer and/or commercial credit; preparing weekly and monthly reports, including credit hold reports, bad debt reports, new credit application reports, accounts receivable summaries and cash applications reports; working closely with the accounts receivable department manager on chargeback issues; training and supervising staff of credit analysts or collections professionals. If you are a Collection Analyst and have a minimum of three years of experience please send your resume to robert.theoudele@accountemps.com and then call 423-265-6522 for an immediate interview. excellent customer service, negotiation, communication and analytical skills, commercial credit, consumer credit, bad debt reports, credit applications reports, accounts receivable, chargebacks, MS Excel"
